mine_request,mined,hardness,node_id,node_identifier,blockchain_length,is_pool,number_of_nodes,mining_time
58,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
58,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
58,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
59,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
59,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
59,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
60,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
60,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
60,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
61,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
61,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
61,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
62,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
62,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
62,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
63,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
63,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
63,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
64,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
64,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
64,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
65,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
65,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
65,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
66,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
66,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
66,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
67,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
67,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
67,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
68,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
68,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
68,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
69,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
69,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
69,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
70,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
70,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
70,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
71,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
71,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
71,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
72,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
72,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
72,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
