resolve_request,hardness,node_index,node_name,node_counter,node_identifier,blockchain_length,is_pool,number_of_nodes,won
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,234,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,234,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,239,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,239,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,239,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,244,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,244,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,244,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,249,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,249,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,249,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,254,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,254,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,254,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,259,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,259,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,259,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,264,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,264,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,264,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,269,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,269,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,269,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,274,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,274,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,274,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,279,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,279,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,279,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,284,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,284,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,284,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,289,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,289,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,289,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,294,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,294,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,294,True,2,True
1,1,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,299,False,1,False
1,1,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,299,False,1,True
1,1,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,299,True,2,True
