mine_request,mined,hardness,node_index,node_name,node_counter,node_identifier,blockchain_length,is_pool,number_of_nodes,mining_time
24,False,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,24,True,2,-
25,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,26,False,1,2.749962091445923
25,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,26,False,1,2.0895049571990967
25,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,26,True,2,0.06250786781311035
26,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,27,False,1,0.9722559452056885
26,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,27,False,1,0.9183807373046875
26,False,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,26,True,2,-
27,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,28,False,1,1.0334172248840332
27,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,28,False,1,0.5006482601165771
27,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,28,True,2,0.44634127616882324
28,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,29,False,1,0.11157107353210449
28,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,29,False,1,0.7136588096618652
28,False,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,28,True,2,-
29,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,30,False,1,0.46738100051879883
29,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,30,False,1,0.8522622585296631
29,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,29,True,2,1.295309066772461
30,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,31,False,1,2.444736957550049
30,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,31,False,1,0.817086935043335
30,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,31,True,2,0.5009400844573975
31,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,32,False,1,1.1711900234222412
31,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,32,False,1,2.8503339290618896
31,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,32,True,2,0.9757239818572998
32,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,33,False,1,2.0703580379486084
32,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,33,False,1,3.132097005844116
32,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,33,True,2,1.2740578651428223
33,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,34,False,1,1.146456003189087
33,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,34,False,1,1.286557912826538
33,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,34,True,2,2.135216236114502
34,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,35,False,1,1.9269330501556396
34,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,35,False,1,0.8147761821746826
34,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,35,True,2,1.686032772064209
35,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,36,False,1,2.334868907928467
35,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,36,False,1,1.0343937873840332
35,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,36,True,2,2.183704137802124
36,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,37,False,1,1.9010939598083496
36,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,37,False,1,2.16866397857666
36,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,37,True,2,1.5502731800079346
37,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,38,False,1,1.925368070602417
37,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,38,False,1,2.3884222507476807
37,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,38,True,2,1.5826849937438965
38,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,39,False,1,2.655534029006958
38,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,39,False,1,0.6085660457611084
38,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,39,True,2,1.9016470909118652
39,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,40,False,1,0.8625099658966064
39,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,40,False,1,1.990236759185791
39,False,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,39,True,2,-
40,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,41,False,1,1.7793169021606445
40,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,41,False,1,0.9812371730804443
40,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,41,True,2,0.20309710502624512
41,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,42,False,1,1.9587440490722656
41,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,42,False,1,1.607909917831421
41,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,42,True,2,1.7556250095367432
42,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,43,False,1,1.754775047302246
42,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,43,False,1,2.0521609783172607
42,False,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,42,True,2,-
43,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,44,False,1,2.2432119846343994
43,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,44,False,1,0.9274358749389648
43,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,44,True,2,0.7390542030334473
44,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,45,False,1,0.06768989562988281
44,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,45,False,1,1.8600010871887207
44,False,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,44,True,2,-
45,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,46,False,1,1.1763699054718018
45,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,46,False,1,1.0936410427093506
45,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,46,True,2,0.23682880401611328
46,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,47,False,1,2.0571181774139404
46,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,47,False,1,1.2184178829193115
46,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,47,True,2,1.440298080444336
47,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,48,False,1,0.8445780277252197
47,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,48,False,1,1.4557149410247803
47,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,48,True,2,0.8975400924682617
48,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,49,False,1,2.079369068145752
48,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,49,False,1,2.098018169403076
48,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,49,True,2,1.817082166671753
49,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,50,False,1,3.1045000553131104
49,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,50,False,1,2.1241049766540527
49,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,50,True,2,1.7161736488342285
50,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,51,False,1,0.9341280460357666
50,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,51,False,1,0.41132116317749023
50,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,51,True,2,1.934502363204956
51,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,52,False,1,1.4409520626068115
51,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,52,False,1,1.2396738529205322
51,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,52,True,2,1.049912691116333
52,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,53,False,1,2.9053030014038086
52,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,53,False,1,1.740067958831787
52,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,53,True,2,1.3908030986785889
53,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,54,False,1,0.3672950267791748
53,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,54,False,1,2.3004181385040283
53,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,54,True,2,2.432758092880249
54,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,55,False,1,2.1112470626831055
54,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,55,False,1,1.3070878982543945
54,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,55,True,2,0.7973487377166748
55,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,56,False,1,0.32280802726745605
